CustomerKey,GeographyKey,Full Name,BirthDate,Gender,TotalChildren
11000,26,Jon Yang,23-12-1962,M,2
11001,37,Eugene Huang,23-06-1976,M,3
11002,31,Ruben Torres,19-08-1966,M,3
11003,11,Christy Zhu,09-12-1987,F,0
11004,19,Elizabeth Johnson,06-06-1990,F,5
11005,22,Julio Ruiz,13-12-1960,M,0
11006,8,Janet Alvarez,19-02-1981,F,0
11007,40,Marco Mehta,08-01-1982,M,3
11008,32,Rob Verhoff,13-08-1997,F,4
11009,25,Shannon Carlson,24-03-1995,M,0
11010,22,Jacquelyn Suarez,27-04-1985,F,0
11011,22,Curtis Lu,06-07-1969,M,4
11012,611,Lauren Walker,25-02-1995,F,2
11013,543,Ian Jenkins,06-06-1990,M,2
11014,634,Sydney Bennett,21-06-1962,F,3
11015,301,Chloe Young,26-03-1985,F,0
11016,329,Wyatt Hill,02-03-1994,M,0
11017,39,Shannon Wang,12-09-1980,F,4
11018,32,Clarence Rai,26-06-1985,M,2
11019,52,Luke Lal,03-10-1962,M,0
11020,53,Jordan King,13-09-1992,M,0
11021,536,Destiny Wilson,05-01-1977,F,0
11022,609,Ethan Zhang,28-06-1976,M,0
11023,298,Seth Edwards,19-06-1970,M,0
11024,311,Russell Xie,30-08-1999,M,0
11025,24,Alejandro Beck,12-11-1965,M,2
11026,4,Harold Sai,06-02-1998,M,2
11027,40,Jessie Zhao,30-07-1964,M,2
11028,17,Jill Jimenez,13-10-1986,F,2
11029,32,Jimmy Moreno,11-09-1982,M,2
11030,28,Bethany Yuan,03-02-1984,F,2
11031,8,Theresa Ramos,31-03-1983,F,4
11032,35,Denise Stone,09-07-1997,F,4
11033,9,Jaime Nath,29-04-1990,M,4
11034,12,Ebony Gonzalez,24-03-1984,F,4
11035,33,Wendy Dominguez,02-08-1977,F,2
11036,343,Jennifer Russell,05-05-1982,F,0
11037,49,Chloe Garcia,22-12-1994,F,0
11038,6,Diana Hernandez,30-11-1964,F,2
11039,19,Marc Martin,16-10-1977,M,3
11040,642,Jesse Murphy,11-05-1984,M,0
11041,325,Amanda Carter,13-10-1999,F,0
11042,338,Megan Sanchez,12-03-1982,F,0
11043,325,Nathan Simmons,27-02-1965,M,0
11044,25,Adam Flores,01-03-1988,M,2
11045,8,Leonard Nara,20-06-1978,M,3
11046,6,Christine Yuan,30-10-1988,F,3
11047,34,Jaclyn Lu,28-12-1994,F,3
11048,39,Jeremy Powell,09-05-1989,M,3
11049,307,Carol Rai,17-04-1997,F,0
11050,31,Alan Zheng,12-02-1991,M,3
11051,21,Daniel Johnson,25-08-1991,M,3
11052,8,Heidi Lopez,25-02-1982,F,2
11053,359,Ana Price,11-11-1989,F,0
11054,34,Deanna Munoz,22-10-1994,F,2
11055,22,Gilbert Raje,30-05-1979,M,2
11056,10,Michele Nath,07-11-1976,F,3
11057,5,Carl Andersen,19-01-1980,M,2
11058,29,Marc Diaz,01-01-1999,M,2
11059,27,Ashlee Andersen,18-07-1993,F,2
11060,40,Jon Zhou,16-10-1992,M,2
11061,23,Todd Gao,15-04-1998,M,2
11062,547,Noah Powell,06-03-1986,M,0
11063,634,Angela Murphy,19-01-1965,F,0
11064,315,Chase Reed,18-09-1963,M,0
11065,331,Jessica Henderson,12-02-1972,F,0
11066,543,Grace Butler,02-05-1985,F,0
11067,632,Caleb Carter,02-04-1975,M,0
11068,40,Tiffany Liang,17-08-1963,F,2
11069,23,Carolyn Navarro,30-11-1988,F,2
11070,39,Willie Raji,27-08-1987,M,2
11071,24,Linda Serrano,30-10-1986,F,2
11072,17,Casey Luo,21-12-1974,F,2
11073,16,Amy Ye,10-05-1966,F,2
11074,28,Levi Arun,01-01-1962,M,2
11075,32,Felicia Jimenez,21-11-1968,F,2
11076,19,Blake Anderson,15-12-1987,M,2
11077,36,Leah Ye,06-01-1980,F,2
11078,49,Gina Martin,17-09-1968,F,0
11079,34,Donald Gonzalez,05-01-1972,M,0
11080,30,Damien Chander,30-03-1994,M,0
11081,311,Savannah Baker,26-03-1978,F,2
11082,322,Angela Butler,29-09-1976,F,0
11083,336,Alyssa Cox,08-11-1996,F,0
11084,543,Lucas Phillips,23-10-1975,M,2
11085,345,Emily Johnson,01-03-1963,F,2
11086,369,Ryan Brown,26-06-1987,M,2
11087,307,Tamara Liang,21-06-1968,F,3
11088,359,Hunter Davis,08-12-1987,M,2
11089,337,Abigail Price,08-12-1961,F,2
11090,338,Trevor Bryant,13-05-1988,M,2
11091,50,Dalton Perez,21-10-1988,M,2
11092,22,Cheryl Diaz,31-01-1985,F,2
11093,19,Aimee He,03-12-1977,F,0
11094,33,Cedric Ma,09-08-1987,M,1
11095,13,Chad Kumar,29-09-1990,M,1
11096,12,Andrés Anand,03-03-1981,M,1
11097,40,Edwin Nara,18-12-1971,M,1
11098,14,Mallory Rubio,15-02-1983,F,1
11099,13,Adam Ross,05-01-1968,M,1
11100,28,Latasha Navarro,20-06-1994,F,1
11101,33,Abby Sai,06-12-1976,F,0
11102,18,Julia Nelson,09-03-1990,F,5
11103,3,Cassie Chande,28-03-1987,F,0
11104,23,Edgar Sara,03-02-1974,M,0
11105,8,Candace Fernandez,01-08-1962,F,0
11106,40,Jessie Liu,19-02-1970,M,0
11107,17,Bianca Lin,27-03-1975,F,1
11108,13,Kari Alvarez,26-05-1962,F,0
11109,38,Ruben Kapoor,25-12-1997,M,0
11110,3,Curtis Yang,21-06-1990,M,1
11111,34,Meredith Gutierrez,14-03-1975,F,1
11112,25,Crystal Wang,02-05-1975,F,1
11113,30,Micheal Blanco,04-10-1982,M,5
11114,14,Leslie Moreno,18-10-1996,F,5
11115,17,Alvin Cai,22-09-1973,M,5
11116,18,Clinton Carlson,23-01-1983,M,5
11117,8,April Deng,15-02-1982,F,5
11118,6,Alvin Zeng,09-03-1960,M,1
11119,13,Evan James,22-06-1966,M,2
11120,18,Beth Jiménez,08-01-1987,F,2
11121,10,Orlando Suarez,18-11-1963,M,5
11122,12,Byron Vazquez,12-11-1996,M,5
11123,39,Philip Alvarez,29-10-1978,M,5
11124,40,Ross Jordan,29-06-1977,M,1
11125,37,Dana Navarro,29-03-1999,F,1
11126,11,Shaun Carson,27-06-1976,M,2
11127,361,Jan Edwards,21-02-1996,F,0
11128,635,Samantha Long,17-04-1963,F,0
11129,638,Julia Wright,22-01-1991,F,0
11130,543,Caroline Russell,29-04-1984,F,0
11131,50,Amanda Rivera,05-10-1986,F,0
11132,51,Melissa Richardson,30-08-1998,F,0
11133,542,Angela Griffin,03-04-1961,F,0
11134,30,Larry Townsend,13-11-1984,M,5
11135,302,Marcus Harris,05-07-1999,M,0
11136,53,Brianna Morgan,22-05-1960,F,0
11137,641,Jasmine Taylor,30-03-1994,F,0
11138,325,Lauren Davis,01-12-1995,F,0
11139,28,Tanya Moreno,12-09-1977,F,2
11140,301,Javier Alvarez,27-04-1980,M,0
11141,314,Nicole Ramirez,10-02-1965,F,0
11142,51,Eduardo Patterson,04-06-1982,M,0
11143,334,Jonathan Henderson,18-12-1985,M,0
11144,607,Edward Hernandez,18-06-1984,M,0
11145,536,Jasmine Coleman,28-10-1960,F,0
11146,8,Karla Goel,18-09-1996,F,2
11147,40,Ernest Wu,14-01-1975,M,2
11148,22,Ross Vazquez,11-08-1990,M,2
11149,25,Theodore Gill,15-04-1989,M,2
11150,39,Russell Shen,14-05-1975,M,2
11151,18,Melinda Gill,03-01-1973,F,2
11152,633,James Williams,18-09-1984,M,0
11153,635,Angela James,28-02-1971,F,0
11154,553,Megan Walker,06-12-1990,F,0
11155,301,Hunter Robinson,17-05-1986,M,0
11156,334,Maria Roberts,13-10-1994,F,0
11157,642,Hannah Long,22-12-1979,F,0
11158,361,Jason Wright,29-08-1965,M,0
11159,385,Brianna Hughes,16-06-1964,F,0
11160,311,Maurice Tang,12-12-1962,M,0
11161,311,Emily Wood,19-02-1964,F,0
11162,331,Chase Cox,13-01-1986,M,0
11163,372,Gabriel Wang,27-05-1964,M,0
11164,374,Devin Brooks,05-07-1989,M,0
11165,348,Jocelyn Alexander,09-12-1979,F,0
11166,631,Ashley Martinez,01-12-1978,F,0
11167,618,Jasmine Barnes,09-04-1965,F,0
11168,348,David Rodriguez,19-03-1992,M,0
